,image_url,Brand,Manufacturer,Model Year,Product Dimensions,Batteries,Memory Storage Capacity,Ram Memory Installed Size,Operating System,Hardware Interface,Graphics Coprocessor,Tuner Technology,Response Time,Resolution,Special Features,Mounting Hardware,Number Of Items,Remote Control Description,Remote Control Type,Display Technology,Standing screen display size,Display Type,Viewing Angle,Image Aspect Ratio,Image Brightness,Image Contrast Ratio,Supported Image Type,Screen Resolution,Supported Audio Format,Speaker Surround Sound Channel Configuration,Audio Wattage,Voltage,Wattage,Power Source,Batteries Included,Batteries Required,Battery Cell Composition,Refresh Rate,Total Usb Ports,Connector Type,Maximum Operating Distance,Mounting Type,Real Angle Of View,Media Format,Includes Rechargable Battery,Remote Control Included?,Supports Bluetooth Technology,Country of Origin,Item Weight,product,rating,price,product_url,Model,Model Name,Item model number,Audio Output Mode,Compatible Devices,GSM frequencies,Contains Liquid Contents,Speakers Maximum Output Power,Speaker Connectivity,Package Dimensions,Max Resolution,Aspect Ratio,Digital Storage Capacity
0,https://images-eu.ssl-images-amazon.com/images/I/51KKlwoanKL._SY300_SX300_QL70_ML2_.jpg,TCL,Bhagwati Products Ltd,2022,95.8 x 25.4 x 61.6 cm; 7.9 Kilograms,2 AAA batteries required. (included),16 GB,2 GB,Android,"USB, HDMI, Headphone",G31MP2,DVB-T2,9.5 Milliseconds,3840x2160 Pixels,"Hands-Free Voice Control, 4K Google TV + HDR 10, AI-IN, T-cast | Apps: Netflix, Youtube, Prime Video & 7000+ Apps, Maximum Content: 10,62,000 Hours, Pure Entertainment","1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Batteries",1,Smart remote with Dedicated Hotkeys for quick and easy access,"IR, Bluetooth",QLED,43 Inches,HDR 10,178 Degrees,16:09,High Brightness,5000:1,"BMP, PNG, JPEG",3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Audio,24 Watts,240 Volts,120 Watts,AC,Yes,Yes,Alkaline,60 Hz,2,"Wi-Fi, USB, Ethernet, HDMI",9 Feet,Wall Mount,178 Degrees,"AVI, MPEG",No,Yes,Yes,India,7 kg 900 g,TCL 108 cm (43 inches) 4K Ultra HD Smart QLED Google TV 43C635 (Black)  ,4.2 out of 5 stars,"44,990",https://amazon.in/TCL-inches-Ultra-Google-43C635/dp/B0B1DR2BWX/ref=sr_1_97?keywords=tv&qid=1660812296&sr=8-97,,,,,,,,,,,,,
1,https://images-na.ssl-images-amazon.com/images/I/41MXkS4709L._SY300_SX300_QL70_ML2_.jpg,Samsung,Samsung India Pvt Ltd,2021,25 x 129.1 x 82.4 cm; 15.4 Kilograms,,8 GB,1.5 GB,Tizen,"USB, HDMI",Pur Color,DVB-T2,,3840x2160 Pixels,"Voice Assistants | Smart Remote | Universal Guide | PC Mode | Screen Mirroring | Tap View | Crystal Processor 4K | Tizen | Supported Applications : Netflix, Amazon Prime, Sony Liv, Zee5, Youtube","1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control",1,"Smart Remote with Hot Keys | Netflix, Prime and Samsung TV Plus","Bluetooth, Voice Assistant Button",LED,58 Inches,HDR10+,178 Degrees,16:09,Mega Contrast,,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Digital Plus,20 Watts,,20.00,AC,,No,,60 Hz,1,"Wi-Fi, USB, Ethernet, HDMI",9 Feet,Wall Mount,,AVI,,Yes,Yes,India,15 kg 400 g,Samsung 146 cm (58 inches) Crystal 4K Pro Series Ultra HD Smart LED TV UA58AUE70AKLXL (Black)  ,4.3 out of 5 stars,"54,490",https://amazon.in/Samsung-inches-Crystal-Ultra-UA58AUE70AKLXL/dp/B091GYMFFV/ref=sr_1_98?keywords=tv&qid=1660812296&sr=8-98,UA58AUE70AKLXL,UA58AUE70AKLXL,UA58AUE70AKLXL,,,,,,,,,,
2,https://images-eu.ssl-images-amazon.com/images/I/313PeUebBWL._SX300_SY300_QL70_ML2_.jpg,Samsung,Samsung,2022,96.3 x 20.3 x 63.8 cm; 7.2 Kilograms,2 Unknown batteries required. (included),,,Tizen,,,,,3840x2160 Pixels,,"1 LED TV, 2 Table Top Stand, 1 Remote Control, 1 Wall Mount, 1 User Manual",1,,,LED,43 Inches,LED,178 Degrees,16:9,,1000000:1,,,,2.0,20 Watts,,,Corded Electric,Yes,Yes,Lithium Ion,60 Hz,1,HDMI,,Wall Mount and Table Mount,,,,Yes,,India,7 kg 200 g,Samsung 108 cm (43 Inches) Crystal 7 Series 4K Ultra HD Smart LED TV 43AU7600 (Black) (2022 Model)  ,5.0 out of 5 stars,"38,490",https://amazon.in/Samsung-Inches-Crystal-Ultra-43AU7600/dp/B0B7RGY51N/ref=sr_1_99?keywords=tv&qid=1660812296&sr=8-99,43AU7600,,43AU7600,,,,,,,,,,
3,https://m.media-amazon.com/images/I/41Y+SwHCJzL._SX300_SY300_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",2020,96.8 x 9 x 56.2 cm; 6.2 Kilograms,,,1.5 GB,FireOS,"USB, HDMI",MaliG31 MP2,,,3840x2160 Pixels,,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",1,,,LED,43 Inches,LED,,,,,JPEG,3840 x 2160 pixels,"WMA, MP3_Audio",Surround Sound,,,,AC,,Yes,,60 Hz,,Wi-Fi,,Wall Mount,,,,,Yes,India,6 kg 200 g,AmazonBasics 108 cm (43 inches) 4K Ultra HD Smart LED Fire TV AB43U20PS (Black)  ,4.0 out of 5 stars,"26,999",https://amazon.in/AmazonBasics-108cm-inch-Ultra-Smart/dp/B087JWLZ2K/ref=sr_1_100?keywords=tv&qid=1660812296&sr=8-100,AB43U20PS,,AB43U20PS,Surround,,,,,,,,,
4,https://images-eu.ssl-images-amazon.com/images/I/41gz9JZLQpL._SY300_SX300_QL70_ML2_.jpg,Coocaa,Radiant Appliances and Electronics Pvt Ltd,2022,122.5 x 23.3 x 77.6 cm; 10.2 Kilograms,2 AAA batteries required. (included),16 GB,2 GB,Android,,Mali-450 GPU,PAL,8 Milliseconds,3840x2160 Pixels,"Personalised for you | Google Duo Supported | Web Touch Remote | Remote with Voice Assistant | HDR 10 | Chameleon Extreme 2.0 Picture Engine | Supported Applications : Netflix, Prime Video, Disney+Hotstar, Sonly Live, Zee5, Youtube","1 Led TV, 1 Wallmount,1 Remote,1 Power Cord,1 Start Guide,1 Warranty Card,2 Batteries,1 Base Stands,4 Screws",1,One Click Google Assistant | Prime Video | Youtube | Netflix | GooglePlay,"IR, Bluetooth",LED,55 Inches,IPS,178 Degrees,16:09,High Brightness,4000:1,"GIF, JPEG",,"Mp3_audio, Wma",DTS Surround | Dolby Audio,30 Watts,200 Volts,150 Watts,AC,Yes,Yes,Lithium Ion,60 Hz,2,"Wi-Fi, USB, Ethernet, HDMI",15 Feet,Wall Mount & Table Top,178 Degrees,"AVI, MPEG",No,Yes,Yes,India,10 kg 200 g,Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg6_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_101_sspa%3Fkeywords%3Dtv%26qid%3D1660812296%26sr%3D8-101-spons%26psc%3D1&qualifier=1660812296&id=8093922834385498&widgetName=sp_btf,55Y72,55Y72,55Y72,Surround,"Android, Iphone",,,,,,,,
5,https://images-eu.ssl-images-amazon.com/images/I/417CDbPCDWL._SY300_SX300_QL70_ML2_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",2020,73.2 x 8.3 x 43.9 cm; 3.65 Kilograms,,,1 GB,FireOS,"USB, HDMI",Mali450 Quad core,,,1366x768 Pixels,,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",1,,,LED,32 Inches,LED,,,,,JPEG,1366 x 768 pixels,"Dolby Audio and DTS TruSurround, WMA, MP3_audio",Surround Sound,,,,AC,,Yes,,60 Hz,,Wi-Fi,,Wall Mount,,,,,Yes,India,3 kg 650 g,AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-97-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_atf_next,AB32E10SS,,AB32E10SS,Surround,,,,,,,,,
6,https://images-eu.ssl-images-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,2021,73 x 8.7 x 47.6 cm; 3.92 Kilograms,2 AAA batteries required.,8 GB,1 GB,Android,"AV Port, Ethernet, HDMI, Headphone, USB 2.0",Mali G31 MP2,NTSC,,1366 x 768 Pixels,PatchWall 4 with IMDb Integration | Kids Mode with Parental Lock | 90+ Free Live Channels | Netflix | Prime Video | Disney+ Hotstar and more | Android TV 11 | Google Assistant | Chromecast Built-in | Miracast,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",1,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix and Prime Video buttons,Bluetooth,LED,32 Inches,A+,178 Degrees,16:09,Ultra Bright Screen,,JPEG,1366 x 768 pixels,"Dolby, DTS-HD, Mp3_audio",Dolby Audio | DTS Virtual: X | DTS-HD,20 Watts,240 Volts,50 Watts,AC,No,Yes,,60 Hz,2,"Wi-Fi, USB, Ethernet, HDMI",8 Feet,Wall Mount,178 Degrees,"MPEG, AVI",,Yes,Yes,India,3 kg 920 g,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-98-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_atf_next,L32M6-RA/L32M7-RA,Redmi Smart TV 32,L32M6-RA/L32M7-RA,Stereo,,,,,,,,,
7,https://images-eu.ssl-images-amazon.com/images/I/515WLjVUdYL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,2022,146.3 x 8.7 x 85.2 cm; 22.1 Kilograms,2 AAA batteries required. (included),,,Android,"Ethernet, Composite Video, Bluetooth 5",X1 4K Processor,DVB-T,,3840 x 2160 Pixels,Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay | Apple Homekit | Alexa,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1,One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",LED,65 Inches,4K HDR,178 Degrees,16:09,High Brightness,,"TIFF, JPEG",3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Audio,20 Watts,240 Volts,180 Watts,AC,Yes,Yes,Alkaline,60 Hz,2,"Wi-Fi, USB, Ethernet, HDMI",5 Feet,Wall Mount & Table Mount,178 Degrees,"AVI, MPEG",No,Yes,Yes,India,22 kg 100 g,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X75K (Black) (2022 Model) | with Alexa Compatibility  ,4.8 out of 5 stars,"94,990",https://amazon.in/Sony-Bravia-inches-KD-65X75K-Compatibility/dp/B09WN61PHN/ref=sr_1_99?keywords=tv&qid=1660812299&sr=8-99,KD-65X75K,Bravia,KD-65X75K,Two channel linear,"Android Phone, Home theatre, IPhone",60 Hz,,,,,,,
8,https://images-eu.ssl-images-amazon.com/images/I/4120CzVIgYL._SX300_SY300_QL70_ML2_.jpg,VU,Vu Technologies Pvt. Ltd.,2022,25.7 x 122.8 x 77.1 cm; 15.6 Kilograms,2 AAA batteries required. (included),,3 GB,Android,"USB, HDMI",Advanced GPU,DVB-T2,7 Milliseconds,3840x2160 Pixels,,"1-TV Unit, Remote Control, Power Cord, User Manual, Table Mount Stand, VESA Wall Mount Bracket, 2 AAA Batteries",1,Universal,,QLED,55 Inches,A+,,16:09,,1000000:1,"GIF, JPEG",3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Atmos,100 Watts,230 Volts,180 Watts,AC,Yes,Yes,Alkaline,120 Hz,,Wi-Fi,,,,,No,Yes,Yes,India,15 kg 600 g,Vu 139 cm (55 inches) The Masterpiece Glo Series 4K Ultra HD Smart Android QLED TV 55QMP (Armani Gold) (2022 Model) | Built in 4.1 Speaker  ,4.6 out of 5 stars,"74,990",https://amazon.in/inches-Masterpiece-Android-55QMP-Speaker/dp/B09TBCKPLF/ref=sr_1_100?keywords=tv&qid=1660812299&sr=8-100,55QMP,Vu Masterpiece,55QMP,,"Windows, Android, Macbook",,,,,,,,
9,https://m.media-amazon.com/images/I/413AJ+Bn+jL._SX300_SY300_.jpg,Samsung,Samsung India Pvt Ltd,2021,25 x 111.7 x 71.9 cm; 11.6 Kilograms,,8 GB,1.5 GB,Tizen,"USB, HDMI",Pur Color,DVB-T2,,3840x2160 Pixels,"Smart Remote | Universal Guide | PC Mode | Screen Mirroring | Tap View | Crystal Processor 4K | Tizen | Supported Applications : Netflix, Amazon Prime, Sony Liv, Zee5, Youtube","1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control",1,"Smart Remote with Hot Keys | Netflix, Prime and Samsung TV Plus",Bluetooth,LED,50 Inches,HDR10+,178 Degrees,16:09,Mega Contrast,,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Digital Plus,20 Watts,,20.00,AC,,No,,60 Hz,1,"Wi-Fi, USB, Ethernet, HDMI",9 Feet,Wall Mount,,AVI,,Yes,Yes,India,11 kg 600 g,Samsung 125 cm (50 inches) Crystal 4K Series Ultra HD Smart LED TV UA50AUE60AKLXL (Black)  ,4.3 out of 5 stars,"44,990",https://amazon.in/Samsung-inches-Crystal-Ultra-UA50AUE60AKLXL/dp/B092B6R27Y/ref=sr_1_101?keywords=tv&qid=1660812299&sr=8-101,UA50AUE60AKLXL,UA50AUE60AKLXL,UA50AUE60AKLXL,,,,,,,,,,
10,https://images-eu.ssl-images-amazon.com/images/I/51V12dzbRgL._SY300_SX300_QL70_ML2_.jpg,TCL,Bhagwati Products Ltd.,2020,111.2 x 4.1 x 65.5 cm; 10 Kilograms,2 AAA batteries required. (included),,2,Android,"USB, HDMI",Mali4703 600MHz~800MHz,DVB-T2/NTSC/PAL/SECAM,9.5 Milliseconds,3840x2160 Pixels,,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Batteries",1,,,LED,50 Inches,A+,,16:9,,5000:1,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Audio Power Speakers,,,30 Watts,AC,Yes,Yes,Lithium Ion,60 hertz,,Wi-Fi,,,,,,,Yes,India,10 kg,TCL 126 cm (50 inches) Remote Less Voice Control Edition AI 4K Ultra HD Certified Android Smart LED TV 50P715 (Silver)  ,4.2 out of 5 stars,"39,990",https://amazon.in/TCL-inches-Certified-Android-50P715/dp/B08BS8KT8X/ref=sr_1_102?keywords=tv&qid=1660812299&sr=8-102,50P715,P715 4K Android,50P715,,,,No,,,,,,
11,https://images-eu.ssl-images-amazon.com/images/I/41Q32m4tmtL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,2021,145.8 x 8.6 x 83.7 cm; 18.02 Kilograms,2 AAA batteries required.,16 GB,2 GB,Android,"Bluetooth, AV Port, HDMI, 3.5mm Audio, USB 2.0",Mali G52 MP2,NTSC/PAL,5 Milliseconds,3840x2160 Pixels,Android TV 10 | Quick Wake - Wake TV Under 5 secs | PatchWall | Supported Apps: Netflix | Prime Video | Disney+ Hotstar | YouTube | 5000+ apps from Google Play Store |,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",1,Remote with easy Access like Voice assistant | Ok Google | Quick Settings | Quick Wake | Quick Mute | Netflix and Prime Video buttons,Bluetooth | Voice assistant,LED,65 Inches,HDR10+ | HLG,178 Degrees,16:09,High brightness,,JPEG,3840 x 2160 pixels,Mp3_audio,DTS Virtual: X | DTS-HD,30 Watts,,200 Watts,AC,No,No,Alkaline,60 Hz,2,Wi-Fi,12 Feet,Wall mount;table mount,,AVI,No,Yes,Yes,India,18 kg,Redmi 164 cm (65 inches) 4K Ultra HD Android Smart LED TV X65 | L65M6-RA (Black)  ,4.2 out of 5 stars,"59,999",https://amazon.in/Redmi-inches-Ultra-Android-L65M6-RA/dp/B08Y653FX4/ref=sr_1_103?keywords=tv&qid=1660812299&sr=8-103,L65M6-RA,Redmi Smart TV X65,L65M6-RA,Stereo,,,,,,,,,
12,https://images-eu.ssl-images-amazon.com/images/I/51yrdDno6SL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony India Private Limited,2021,97.1 x 57.5 x 7.7 cm; 7.8 Kilograms,2 AAA batteries required. (included),,,Android,"Bluetooth, Composite Video, Headphone",4K X Reality Pro,DVB-T/T2,,3840x2160 Pixels,"4K HDR | 4K GAMING | X1 4K PROCESSOR | LIVE COLOR | ANDROID TV |DOLBY AUDIO | BLUETOOTH | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now","1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1,"Smart Remote with Netflix, Prime Video, Youtube, YT Music direct button |Ok Google",Bluetooth,4K UHD,43 Inches,LED,178 Degrees,16:09,,,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",OPEN BAFFLE SPEAKER | DOLBY AUDIO| CLEAR PHASE,,220 Volts (AC),96 Watts,AC,Yes,Yes,Alkaline,60 Hz,,Wi-Fi,3 Feet,Wall mount;table mount,,"WAV, AVI, MPEG, WMA",No,Yes,Yes,India,7 kg 800 g,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart Android LED TV KD-43X74 (Black) (2021 Model) | with Alexa Compatibility  ,4.7 out of 5 stars,"43,990",https://amazon.in/Sony-Bravia-Android-KD-43X74-Compatibility/dp/B0918S668P/ref=sr_1_104?keywords=tv&qid=1660812299&sr=8-104,,KD-43X74,,,,,,,,,,,
13,https://images-eu.ssl-images-amazon.com/images/I/41uyQ8un3uL._SY300_SX300_QL70_ML2_.jpg,VU,Vu,2021,8.4 x 145.4 x 86.4 cm; 17.7 Kilograms,2 AAA batteries required. (included),,2 GB,Android,"USB, HDMI",Multi Core Mali-470MP3,"DVB-T/ DVB-T2, PAL",8 Milliseconds,3840x2160 Pixels,Remote Control,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control, 1 Power Cable, AAA battery x2no's",1,Smart ActiVoice Remote with Voice search and Apps Hot keys,,LED,65 Inches,A+,,16:09,,1000000:1,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",Cinema Grade JBL Speakers | DTS Virtual X Surround Sound Technologies,100 Watts,,100 Watts,AC,Yes,Yes,Alkaline,60 Hz,,Wi-Fi,,Wall Mount,,,,Yes,Yes,India,17 kg 700 g,Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar  ,4.4 out of 5 stars,"59,990",https://amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_105?keywords=tv&qid=1660812299&sr=8-105,65LX,Cinema,65LX,Surround,,,,100 Watts,"Micro USB, HDMI",,,,
14,https://images-eu.ssl-images-amazon.com/images/I/51KEVxWqDSL._SX300_SY300_QL70_ML2_.jpg,Hisense,Hisense,2021,96.1 x 19.6 x 61.3 cm; 6.9 Kilograms,2 AAA batteries required. (included),16 GB,2 GB,Android,"AV Port, Ethernet, HDMI, USB 2.0, Bluetooth 5",Mali470MP,DVB-T2,8 Milliseconds,3840x2160 Pixels,"Dolby Vision | Hotkeys on Remote | Remote With Voice Assistant | Android P OS | HDR-10 | HLG | Dolby Atmos | Supported Applications : Sony Liv, Disney+Hotstar, Zee5, Youtube etc on Official Play Store","1 TV Unit, 1 Remote, 1 Table Top Stand, 1 Wall Mount Bracket, 2 AAA Battery, 1 User Manual, 1 Warranty Card",1,"Smart remote with Hotkeys for quick and easy access | Google Assistant, get more done with your voice","IR, Bluetooth",LED,43 Inches,"VA | HDR10, HLG",178 Degrees,16:09,300 nits,4000:1,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Atmos,24 Watts,230 Volts,120 Watts,AC,Yes,Yes,Alkaline,60 Hz,2,"Wi-Fi, USB, Ethernet, HDMI",9 Feet,Wall Mount,178 Degrees,"AVI, MPEG",No,Yes,Yes,India,6 kg 900 g,Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A6GE (Black)  ,4.2 out of 5 stars,"26,990",https://amazon.in/Hisense-inches-Certified-Android-43A6GE/dp/B099K9ZX65/ref=sr_1_106?keywords=tv&qid=1660812299&sr=8-106,43A6GE,43A6GE,43A6GE,Surround,,,,,,,,,
15,https://images-eu.ssl-images-amazon.com/images/I/41dvZHrAhTL._SX300_SY300_QL70_ML2_.jpg,NVY,Reach NVY PVT Ltd,2022,,,8 GB,1 GB,Android,"Ethernet, HDMI, USB 2.0",,,8 Milliseconds,1366768 Pixels,,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control",1,,IR,LED,32 Inches,LED,178 Degrees,16:9,,,,,"Mp3_audio, Wma",2,20 Watts,240 Volts,48 Watts,AC,,No,,60 Hz,2,"Wi-Fi, HDMI",7 Feet,Wall Mount,,,,Yes,,India,5 kg,NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-107-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_mtf,32 SMART TV,NVA32SFR1,32 SMART TV,Surround,,,,,,80 x 52 x 13 cm; 5 Kilograms,,,
16,https://images-eu.ssl-images-amazon.com/images/I/41Q5zqyjWPL._SY300_SX300_QL70_ML2_.jpg,Karbonn,"Westway Electronics Limited, A001D, Sector-84, Noida, G.B Nagar, Uttar Pradesh, 201305",2021,72.2 x 8 x 42.5 cm; 4.4 Kilograms,2 AAA batteries required. (included),8 GB,1 GB,Android,"USB, HDMI",Mali-G31MP2,NTSC,8 Milliseconds,1366x768 Pixels,"Prime Video, Inbuilt App Store, SonyLiv, Youtube, Hotstar, Android 9 (GOS), In-built Apps Store, Screen Sharing, Remote with Hotkeys, Movie Box | Supported Apps : Netflix","1 LED TV, 2 Table Stand Base, 1 Wall Mounting Set, 4 Screws, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",1,Navigation Keys for Easy Access,IR,LED,32 Inches,A+,178 Degrees,16:09,High brightness,3000:1,"GIF, JPEG",,"Mp3_audio, Wma",Sorround,20 Watts,110 Volts,60 Watts,AC,Yes,Yes,Manganese,60 Hz,2,"Wi-Fi, USB, Ethernet, HDMI",9 Feet,Wall Mount & Table Mount,178 Degrees,"AVI, MPEG",No,Yes,No,India,4 kg 400 g,Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-108-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_mtf,KJW32SKHD,KJW32SKHD,KJW32SKHD,,Android,60 Hz,,,,,,,
17,https://images-eu.ssl-images-amazon.com/images/I/51z3WdjMKVL._SY300_SX300_QL70_ML2_.jpg,TCL,Mirc Electronics Ltd,2021,96.8 x 25.2 x 65.2 cm; 6.75 Kilograms,2 AAA batteries required.,,2,Android,"USB, HDMI",Mali4703 600MHz~800MHz,DVB-T2/NTSC/PAL/SECAM,9.5 Milliseconds,3840x2160 Pixels,Google Assistant | 4K Android TV + HDR 10 | AI-IN | T-cast | Bluetooth 5.0 | Android P,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Batteries",1,"One Click button access to Netflix, Zee 5 and Prime Video","IR, Bluetooth",LED,43 Inches,A+,,16:9,,5000:1,JPEG,3840 x 2160 pixels,"Mp3_audio, Wma",Dolby Audio,,,24 Watts,AC,No,No,Lithium Ion,60 hertz,1,Wi-Fi,8 Feet,Wall Mount & Table Mount,,"AVI, DVD, MPEG, WAV, WMA",,,Yes,India,6 kg 750 g,TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P615 (Black)  ,4.3 out of 5 stars,"31,990",https://amazon.in/TCL-inches-Certified-Android-43P615/dp/B08FD2VSD9/ref=sr_1_109?keywords=tv&qid=1660812299&sr=8-109,43P615,P615 4K Android,43P615,Surround,,,,,,,,,
